"State","Official Source","Primary Link","Access Needed","What Needs To Be Accessed","User Action","Contact or Request Link","Email Text","Integration Readiness","Notes","Verified Date"
"Alabama","ALGO Traffic","https://algotraffic.com/","Agency permission / technical feed details","Statewide camera inventory with latitude/longitude plus current JPEG snapshot or HLS URL","Email ALDOT/ALGO asking for an approved low-volume camera feed and terms","https://www.dot.state.al.us/contact.html","Subject: Alabama traffic-camera data access request | Hello, I’m requesting permission and technical access to current Alabama DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Public map exists; no documented public developer camera API was confirmed.","2026-07-28"
"Alaska","Alaska 511 Developer API","https://511.alaska.gov/developers/doc","Free self-service developer account and API key","Cameras endpoint returning coordinates and current image/stream URLs","Register in Alaska 511 and enable Developer API access","https://511.alaska.gov/my511/register","","Self-service","Travel-IQ developer interface; verify rate limits after key issuance.","2026-07-28"
"Arizona","AZ 511 Developer API","https://www.az511.gov/developers/doc","Free self-service developer account and API key","Cameras endpoint returning coordinates and current image/stream URLs","Register in AZ 511 and enable Developer API access","https://www.az511.gov/my511/register","","Self-service","Travel-IQ developer interface; verify rate limits after key issuance.","2026-07-28"
"Arkansas","IDrive Arkansas","https://www.idrivearkansas.com/","Agency permission / technical feed details","Statewide camera inventory with coordinates plus reusable snapshots or streams","Contact ArDOT for camera-feed/API access and reuse terms","https://ardot.gov/contact-us/","Subject: Arkansas traffic-camera data access request | Hello, I’m requesting permission and technical access to current Arkansas DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Public camera map exists; no documented public developer camera API was confirmed.","2026-07-28"
"California","Caltrans QuickMap / CWWP","https://quickmap.dot.ca.gov/","Public district data feeds; confirm camera-image reuse terms","District camera inventory with coordinates and current image URLs","Use Caltrans district data nodes and confirm attribution/rate limits before statewide ingestion","https://cwwp2.dot.ca.gov/documentation/datanode/","","Promising public feed","Caltrans publishes third-party traffic data in machine-readable formats; statewide normalization is required.","2026-07-28"
"Colorado","COtrip / CDOT real-time data","https://www.cotrip.org/","Confirm camera fields and automated image-access terms","Camera inventory plus stable snapshot or stream URLs","Inspect the public CDOT feed; contact CDOT if camera media URLs are absent or restricted","https://data.colorado.gov/Transportation/CDOT-Real-Time-Data-Feed-XML-/j3ch-zsvz","","Needs technical confirmation","A public real-time XML feed exists, but camera-media suitability still needs confirmation.","2026-07-28"
"Connecticut","CTroads","https://ctroads.org/","Agency permission / camera-specific feed","Camera inventory with coordinates and current image/stream URLs","Contact CTDOT because documented public feeds found so far do not expose reusable camera media","https://portal.ct.gov/dot/contact-us","Subject: Connecticut traffic-camera data access request | Hello, I’m requesting permission and technical access to current Connecticut DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Public map exists; camera automation was not confirmed in the documented feeds.","2026-07-28"
"Delaware","DelDOT Traffic Cameras","https://deldot.gov/map/index.shtml?tab=Cameras","Public no-key ArcGIS inventory and HLS streams","ArcGIS camera layer and HLS stream URLs","No signup needed; continue observing reasonable polling and attribution","https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_TMC_Traffic_Feeds/MapServer/1","","Integrated","360 cameras were verified and incorporated into the Connector.","2026-07-28"
"Florida","FL511","https://fl511.com/contact","Developer API key plus current documentation and reuse terms","Statewide camera metadata endpoint and current image/stream URLs","Send FL511 a request because the former developer documentation/key page currently fails","https://fl511.com/contact","Subject: FL511 developer camera API access request | Hello, I’m requesting an FL511 developer API key for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. We plan to query current camera metadata and images only for low-volume, event-triggered rainbow validation, within published rate limits. The developer documentation page currently returns 404. Please provide API-key access, current camera API documentation, and permission/attribution requirements. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","The underlying camera API appears to exist, but the public developer onboarding link is broken.","2026-07-28"
"Georgia","Georgia 511 Developer API","https://511ga.org/developers/doc","Developer account and agency approval","Cameras endpoint returning coordinates and current media URLs","Wait for approval of the submitted Georgia 511 developer request","https://511ga.org/my511/register","","Approval pending","Application has already been submitted.","2026-07-28"
"Hawaii","GoAkamai / Hawaii DOT","https://www.goakamai.org/","Agency permission; coverage may be island-specific","Camera inventory, coordinates, compass view if known, and snapshots/streams","Ask Hawaii DOT/GoAkamai about authorized statewide or island camera feeds","https://hidot.hawaii.gov/contact/","Subject: Hawaii traffic-camera data access request | Hello, I’m requesting permission and technical access to current Hawaii DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Public traffic cameras are fragmented; statewide machine-readable coverage was not confirmed.","2026-07-28"
"Idaho","Idaho 511 Developer API","https://511.idaho.gov/developers/doc","Free self-service developer account and API key","Cameras endpoint returning coordinates and current image/stream URLs","Register in Idaho 511 and enable Developer API access","https://511.idaho.gov/my511/register","","Self-service","Travel-IQ developer interface; verify rate limits after key issuance.","2026-07-28"
"Illinois","Travel Midwest","https://www.travelmidwest.com/","Documented public data/image feeds; confirm reuse and polling limits","Camera XML inventory and downloadable current images","Review Travel Midwest data-feed documentation and test the camera-image feed","https://www.travelmidwest.com/lmiga/developers.jsp","","Promising public feed","Travel Midwest documents traffic data and camera-image downloads; normalize multi-agency coverage.","2026-07-28"
"Indiana","511IN","https://511in.org/","Agency permission / technical feed details","Statewide camera inventory with coordinates and current image/stream URLs","Contact INDOT Traffic Management for approved camera-feed access","https://www.in.gov/indot/contact-us/","Subject: Indiana traffic-camera data access request | Hello, I’m requesting permission and technical access to current Indiana DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Public map exists; no documented public developer camera API was confirmed.","2026-07-28"
"Iowa","Iowa 511 Data Feeds","https://iowadot.gov/travel-tools/iowa-511/511-data-feeds","Public GIS metadata; request form for XML camera metadata/video/images","CCTV metadata, video streams, and image URLs","Use the vendor XML data-feed request form for the full camera feed; public GIS needs no credentials","https://www.castlerockits.com/xml-data-feeds","","Request form","Iowa DOT explicitly lists CCTV metadata, streams, and images; camera GIS metadata is public without credentials.","2026-07-28"
"Kansas","KanDrive","https://www.kandrive.gov/","Agency permission / technical feed details","Statewide camera inventory with coordinates and current image/stream URLs","Contact KDOT for approved automated camera access and reuse terms","https://www.ksdot.gov/about/contact.asp","Subject: Kansas traffic-camera data access request | Hello, I’m requesting permission and technical access to current Kansas DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Public map exists; no documented public developer camera API was confirmed.","2026-07-28"
"Kentucky","GoKY","https://goky.ky.gov/","Agency permission / technical feed details","Statewide camera inventory with coordinates and current image/stream URLs","Contact KYTC for an approved camera feed and terms","https://transportation.ky.gov/Pages/Contact-Us.aspx","Subject: Kentucky traffic-camera data access request | Hello, I’m requesting permission and technical access to current Kentucky DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Public map exists; no documented public developer camera API was confirmed.","2026-07-28"
"Louisiana","Louisiana 511 Developer API","https://www.511la.org/developers/doc","Free self-service developer account and API key","Cameras endpoint returning coordinates and current image/stream URLs","Register in Louisiana 511 and enable Developer API access","https://www.511la.org/my511/register","","Self-service","Travel-IQ developer interface; verify rate limits after key issuance.","2026-07-28"
"Maine","New England 511","https://newengland511.org/","Agency/vendor permission and current developer documentation","Maine camera endpoint with coordinates and current image/stream URLs","Contact New England 511 because the developer page is currently unavailable","https://newengland511.org/","Subject: Maine traffic-camera data access request | Hello, I’m requesting permission and technical access to current Maine DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Regional system also covers New Hampshire and Vermont; a camera API appears to exist but onboarding is broken.","2026-07-28"
"Maryland","CHART Data Feeds","https://chart.maryland.gov/DataFeeds/GetDataFeeds","Public no-key JSON feeds and JPEG images","Camera inventory and current JPEG image URLs","No signup needed; continue observing reasonable polling and attribution","https://chart.maryland.gov/DataFeeds/GetDataFeeds","","Integrated","Already incorporated into the Connector.","2026-07-28"
"Massachusetts","Mass511","https://mass511.com/","Agency permission / technical feed details","Statewide camera inventory with coordinates and current image/stream URLs","Contact MassDOT for approved camera API/feed access","https://www.mass.gov/forms/contact-massdot","Subject: Massachusetts traffic-camera data access request | Hello, I’m requesting permission and technical access to current Massachusetts DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Public map exists; no documented public developer camera API was confirmed.","2026-07-28"
"Michigan","Mi Drive / MDOT ITS Data","https://mdotjboss.state.mi.us/MiDrive/map","Camera-specific permission and technical access","Mi Drive camera inventory with current snapshots or streams","Email MDOT because the published RIDE datasets do not list cameras","mailto:MDOT-ITS-Data@Michigan.gov","Subject: Michigan traffic-camera data access request | Hello, I’m requesting permission and technical access to current Michigan DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. The public RIDE data list does not appear to include cameras. Please provide the approved camera feed/API, access process, rate limits, attribution requirements, and any agreement needed. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","RIDE access exists through MiLogin for Business, but its listed datasets do not include cameras.","2026-07-28"
"Minnesota","Minnesota 511","https://511mn.org/","Agency permission / technical feed details","Statewide camera inventory with coordinates and current image/stream URLs","Contact MnDOT for approved automated camera access","https://www.dot.state.mn.us/information/contact.html","Subject: Minnesota traffic-camera data access request | Hello, I’m requesting permission and technical access to current Minnesota DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Public map exists; no documented public developer camera API was confirmed.","2026-07-28"
"Mississippi","MDOTtraffic","https://www.mdottraffic.com/","Agency permission / technical feed details","Statewide camera inventory with coordinates and current image/stream URLs","Contact MDOT for approved camera feed and reuse terms","https://mdot.ms.gov/portal/contact","Subject: Mississippi traffic-camera data access request | Hello, I’m requesting permission and technical access to current Mississippi DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Public map exists; no documented public developer camera API was confirmed.","2026-07-28"
"Missouri","MoDOT Traveler Information Map","https://traveler.modot.org/map/","Agency permission / technical feed details","Statewide camera inventory with coordinates and current image/stream URLs","Contact MoDOT for an approved machine-readable camera feed","https://www.modot.org/contact-us","Subject: Missouri traffic-camera data access request | Hello, I’m requesting permission and technical access to current Missouri DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Public map exists; no documented public developer camera API was confirmed.","2026-07-28"
"Montana","Montana 511","https://www.511mt.net/","Agency permission / technical feed details","Statewide camera inventory with coordinates and current image/stream URLs","Contact MDT for approved camera-feed access","https://www.mdt.mt.gov/contact/","Subject: Montana traffic-camera data access request | Hello, I’m requesting permission and technical access to current Montana DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Public map exists; no documented public developer camera API was confirmed.","2026-07-28"
